name,location,date,time,more_info,tags
Father's Day Par-tee,"New Realm Brewing Co., Charleston, SC",2026-06-21,2:00 PM,https://www.eventbrite.com/e/fathers-day-par-tee-tickets-1991912234113,"Holidays, Fathers Day, Lifestyle, Parenting"
☁️ Introducing the On Air SkyClub Sunday Market! ☁️,"Charleston, SC",2026-06-21,2:00 PM,,"Food & Drink, Performing Arts, Music, Live Music, Pursuits & Hobbies, Markets & Shopping"
Rodin: The Gates of Hell,"Gibbes Museum, Charleston, SC",2026-06-21,2:00 PM,https://www.gibbesmuseum.org/programs-events/rodin-the-gates-of-hell/1044,"Visual Arts, Film, Sculpture, Sculpture & Ceramics"
Brunch & Bullsh*t,"The Coan, Ladson, SC",2026-06-21,3:00 PM,https://www.eventbrite.com/e/brunch-bullsht-tickets-1989953245726,"Food & Drink, Food, Brunch"
Daddy's Beemer & Homemade Haircuts & Maraluso & The Simplicity,"LO-FI Brewing, North Charleston, SC",2026-06-21,3:00 PM,https://www.bandsintown.com/e/108460981?app_id=pkvts0on0m&came_from=287&utm_medium=api&utm_source=partner_api&utm_campaign=event,"Performing Arts, Music, Rock, Concerts, Indie Rock, Percussion, Alternative Rock, Punk Rock, Folk & Traditional, Classic Rock, Live Music, Lifestyle, Parenting"
Billy Batts & The Made Men & Hale Bopp Astronauts,"Reggie's Tavern, North Charleston, SC",2026-06-21,3:00 PM,https://www.bandsintown.com/e/108505517?app_id=pkvts0on0m&came_from=287&utm_medium=api&utm_source=partner_api&utm_campaign=event,"Performing Arts, Music, Concerts, Rock, Punk Rock, Pop Rock, Acoustic, Percussion, Live Music"
Father's Day at Revival,"Revival, Charleston, SC",2026-06-21,5:00 PM,https://www.charlestoncvb.com/events/father-s-day-at-revival~27605,"Holidays, Fathers Day, Lifestyle, Parenting, Food & Drink, Food"
Brewery Blast Laser Tag at Holy City Brewing,"Holy City Brewing, North Charleston, SC",2026-06-21,5:00 PM,,"Food & Drink, Drinks, Pursuits & Hobbies, Games"
Comedian JEN KOBER at Pub on 61,"The Pub On 61, Charleston, SC",2026-06-21,6:00 PM,https://www.eventbrite.com/e/comedian-jen-kober-at-pub-on-61-tickets-1984491100302,"Performing Arts, Comedy"
Juneteenth With Chef Rod: Year Five,"Edmund's Original (Formerly Edmund's Oast), Charleston, SC",2026-06-21,6:00 PM,https://www.eventbrite.com/e/juneteenth-with-chef-rod-year-five-tickets-1989267808565,"Holidays, Juneteenth, Pursuits & Hobbies, Culinary Arts"
Reggae Sunday,"The Washout, Folly Beach, SC",2026-06-21,6:00 PM,https://follywashout.com/events.php,"Performing Arts, Music, Rock, Ska, Reggae"
Dungeon Crawler Carl Trivia Night!,"Reforged Gaming Lounge, North Charleston, SC",2026-06-21,6:00 PM,https://www.eventbrite.com/e/dungeon-crawler-carl-trivia-night-tickets-1990281947883,"Pursuits & Hobbies, Games, Trivia Games"
Get Up! Sit-Down Comedy Show. Door @ 6:30. Show @ 7. $5 21+,"Tin Roof, Charleston, SC",2026-06-21,6:30 PM,https://tockify.com/tinroofschedule/detail/1755/1782081000000,"Performing Arts, Comedy"
Matthew 25,"Roman Catholic Diocese of Charleston, Charleston, SC",2026-06-21,7:00 PM,https://www.bandsintown.com/e/1037807048?app_id=pkvts0on0m&came_from=287&utm_medium=api&utm_source=partner_api&utm_campaign=event,"Performing Arts, Music, Concerts, Religious, Live Music, Christian, Gospel"
Inspector NoClue's Murder Mystery,"Black Fedora Comedy Mystery Theatre, Charleston, SC",2026-06-21,7:00 PM,https://www.charlestonmysteries.com/,"Theater, Comedy, Family, Performing Arts, Special Audience"
Charleston Sprint Triathlon Series Race 1,"James Island County Park - Palmetto Trees, Charleston, SC",2026-06-21,7:15 AM,http://www.ccprc.com/calendar.aspx,"Running, Triathlons, Road Biking, Swimming, Cycling, Sports, Sports & Outdoors, Water Sports, Outdoor Recreation, Fitness, Organized Races"
Shelling Expedition,"Andell Bluff, Johns Island, SC",2026-06-21,8:00 AM,https://kiawahresort.com/event/shelling-expedition-5/2026-06-21/1/,"Pursuits & Hobbies, Travel, Sports & Outdoors, Outdoor Recreation, Water Sports, Civic Benefit, Ongoing Activities & Attractions, Attractions"
Summer Solstice Yaupon Tea Ceremony,"Folly Beach, SC",2026-06-21,8:00 AM,https://www.eventbrite.com/e/summer-solstice-yaupon-tea-ceremony-tickets-1990912500884,"Food & Drink, Tea, Topics, Schools & Education"
Dolphin Encounters,"Charleston, SC",2026-06-21,8:30 AM,https://kiawahresort.com/event/dolphin-encounters-17/2026-06-21/,"Sports & Outdoors, Outdoor Recreation, Nature & Wildlife, Fauna, Destinations"
Sweat on the Ship x HYROX Doubles Edition/Legion Performance Club,"Patriots Point, Mount Pleasant, SC",2026-06-21,8:30 AM,https://www.patriotspoint.org/events/sweat-ship-x-hyrox-doubles-editionlegion-performance-club-1,"Sports & Outdoors, Fitness, Performing Arts, Theater"
Sunday Morning Service,"American Gardens, Charleston, SC",2026-06-21,8:30 AM,https://www.eventbrite.com/e/sunday-morning-service-tickets-1971487731877,"Professional, Topics, Schools & Education"
Roger Clyne & The Peacemakers,"Pour House, Charleston, SC",2026-06-21,8:30 PM,https://www.bandsintown.com/e/107972876?app_id=pkvts0on0m&came_from=287&utm_medium=api&utm_source=partner_api&utm_campaign=event,"Performing Arts, Music, Rock, Concerts, Country, Latin, Alternative Rock, Percussion, Acoustic, Choral, Western, Mariachi, Grunge, Classical, Classic Rock, Live Music, Food & Drink, Food, Breakfast"
Karaoke 8:30-11:30! FREE 21+,"Tin Roof, Charleston, SC",2026-06-21,8:30 PM,https://tockify.com/tinroofschedule/detail/1739/1782088200000,"Performing Arts, Open Mic, Karaoke"
